season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,points_deduction,source_url
2018/19,1,Manchester City,38,32,2,4,95,23,+72,98,Qualification to Champions League group stage,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_Premier_League
2018/19,2,Liverpool,38,30,7,1,89,22,+67,97,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_Premier_League
2018/19,3,Chelsea,38,21,9,8,63,39,+24,72,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_Premier_League
2018/19,4,Tottenham Hotspur,38,23,2,13,67,39,+28,71,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_Premier_League
2018/19,5,Arsenal,38,21,7,10,73,51,+22,70,Qualification to Europa League group stage[a],0,https://en.wikipedia.org/wiki/2018%E2%80%9319_Premier_League
2018/19,6,Manchester United,38,19,9,10,65,54,+11,66,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_Premier_League
2018/19,7,Wolverhampton Wanderers,38,16,9,13,47,46,+1,57,Qualification to Europa League second qualifying round[a],0,https://en.wikipedia.org/wiki/2018%E2%80%9319_Premier_League
2018/19,8,Everton,38,15,9,14,54,46,+8,54,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_Premier_League
2018/19,9,Leicester City,38,15,7,16,51,48,+3,52,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_Premier_League
2018/19,10,West Ham United,38,15,7,16,52,55,-3,52,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_Premier_League
2018/19,11,Watford,38,14,8,16,52,59,-7,50,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_Premier_League
2018/19,12,Crystal Palace,38,14,7,17,51,53,-2,49,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_Premier_League
2018/19,13,Newcastle United,38,12,9,17,42,48,-6,45,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_Premier_League
2018/19,14,Bournemouth,38,13,6,19,56,70,-14,45,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_Premier_League
2018/19,15,Burnley,38,11,7,20,45,68,-23,40,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_Premier_League
2018/19,16,Southampton,38,9,12,17,45,65,-20,39,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_Premier_League
2018/19,17,Brighton & Hove Albion,38,9,9,20,35,60,-25,36,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_Premier_League
2018/19,18,Cardiff City,38,10,4,24,34,69,-35,34,Relegation to EFL Championship,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_Premier_League
2018/19,19,Fulham,38,7,5,26,34,81,-47,26,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_Premier_League
2018/19,20,Huddersfield Town,38,3,7,28,22,76,-54,16,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_Premier_League
