season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,points_deduction,source_url
2009/10,1,Chelsea,38,27,5,6,103,32,+71,86,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2009%E2%80%9310_Premier_League
2009/10,2,Manchester United,38,27,4,7,86,28,+58,85,,0,https://en.wikipedia.org/wiki/2009%E2%80%9310_Premier_League
2009/10,3,Arsenal,38,23,6,9,83,41,+42,75,,0,https://en.wikipedia.org/wiki/2009%E2%80%9310_Premier_League
2009/10,4,Tottenham Hotspur,38,21,7,10,67,41,+26,70,Qualification for the Champions League play-off round,0,https://en.wikipedia.org/wiki/2009%E2%80%9310_Premier_League
2009/10,5,Manchester City,38,18,13,7,73,45,+28,67,Qualification for the Europa League play-off round[a],0,https://en.wikipedia.org/wiki/2009%E2%80%9310_Premier_League
2009/10,6,Aston Villa,38,17,13,8,52,39,+13,64,,0,https://en.wikipedia.org/wiki/2009%E2%80%9310_Premier_League
2009/10,7,Liverpool,38,18,9,11,61,35,+26,63,Qualification for the Europa League third qualifying round[b],0,https://en.wikipedia.org/wiki/2009%E2%80%9310_Premier_League
2009/10,8,Everton,38,16,13,9,60,49,+11,61,,0,https://en.wikipedia.org/wiki/2009%E2%80%9310_Premier_League
2009/10,9,Birmingham City,38,13,11,14,38,47,-9,50,,0,https://en.wikipedia.org/wiki/2009%E2%80%9310_Premier_League
2009/10,10,Blackburn Rovers,38,13,11,14,41,55,-14,50,,0,https://en.wikipedia.org/wiki/2009%E2%80%9310_Premier_League
2009/10,11,Stoke City,38,11,14,13,34,48,-14,47,,0,https://en.wikipedia.org/wiki/2009%E2%80%9310_Premier_League
2009/10,12,Fulham,38,12,10,16,39,46,-7,46,,0,https://en.wikipedia.org/wiki/2009%E2%80%9310_Premier_League
2009/10,13,Sunderland,38,11,11,16,48,56,-8,44,,0,https://en.wikipedia.org/wiki/2009%E2%80%9310_Premier_League
2009/10,14,Bolton Wanderers,38,10,9,19,42,67,-25,39,,0,https://en.wikipedia.org/wiki/2009%E2%80%9310_Premier_League
2009/10,15,Wolverhampton Wanderers,38,9,11,18,32,56,-24,38,,0,https://en.wikipedia.org/wiki/2009%E2%80%9310_Premier_League
2009/10,16,Wigan Athletic,38,9,9,20,37,79,-42,36,,0,https://en.wikipedia.org/wiki/2009%E2%80%9310_Premier_League
2009/10,17,West Ham United,38,8,11,19,47,66,-19,35,,0,https://en.wikipedia.org/wiki/2009%E2%80%9310_Premier_League
2009/10,18,Burnley,38,8,6,24,42,82,-40,30,Relegation to Football League Championship,0,https://en.wikipedia.org/wiki/2009%E2%80%9310_Premier_League
2009/10,19,Hull City,38,6,12,20,34,75,-41,30,,0,https://en.wikipedia.org/wiki/2009%E2%80%9310_Premier_League
2009/10,20,Portsmouth,38,7,7,24,34,66,-32,19,,9,https://en.wikipedia.org/wiki/2009%E2%80%9310_Premier_League
