season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,points_deduction,source_url
2016/17,1,Chelsea,38,30,3,5,85,33,+52,93,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_Premier_League
2016/17,2,Tottenham Hotspur,38,26,8,4,86,26,+60,86,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_Premier_League
2016/17,3,Manchester City,38,23,9,6,80,39,+41,78,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_Premier_League
2016/17,4,Liverpool,38,22,10,6,78,42,+36,76,Qualification for the Champions League play-off round,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_Premier_League
2016/17,5,Arsenal,38,23,6,9,77,44,+33,75,Qualification for the Europa League group stage[a],0,https://en.wikipedia.org/wiki/2016%E2%80%9317_Premier_League
2016/17,6,Manchester United,38,18,15,5,54,29,+25,69,Qualification for the Champions League group stage[b],0,https://en.wikipedia.org/wiki/2016%E2%80%9317_Premier_League
2016/17,7,Everton,38,17,10,11,62,44,+18,61,Qualification for the Europa League third qualifying round[c],0,https://en.wikipedia.org/wiki/2016%E2%80%9317_Premier_League
2016/17,8,Southampton,38,12,10,16,41,48,-7,46,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_Premier_League
2016/17,9,Bournemouth,38,12,10,16,55,67,-12,46,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_Premier_League
2016/17,10,West Bromwich Albion,38,12,9,17,43,51,-8,45,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_Premier_League
2016/17,11,West Ham United,38,12,9,17,47,64,-17,45,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_Premier_League
2016/17,12,Leicester City,38,12,8,18,48,63,-15,44,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_Premier_League
2016/17,13,Stoke City,38,11,11,16,41,56,-15,44,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_Premier_League
2016/17,14,Crystal Palace,38,12,5,21,50,63,-13,41,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_Premier_League
2016/17,15,Swansea City,38,12,5,21,45,70,-25,41,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_Premier_League
2016/17,16,Burnley,38,11,7,20,39,55,-16,40,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_Premier_League
2016/17,17,Watford,38,11,7,20,40,68,-28,40,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_Premier_League
2016/17,18,Hull City,38,9,7,22,37,80,-43,34,Relegation to EFL Championship,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_Premier_League
2016/17,19,Middlesbrough,38,5,13,20,27,53,-26,28,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_Premier_League
2016/17,20,Sunderland,38,6,6,26,29,69,-40,24,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_Premier_League
